index;City;State;Population;Latitude;Longitude;city-state;AlternateNames;isStateCapital
4608;Ocre;Abruzzo;1082;42.27926138219631;13.466846732502294;Ocre, Abruzzo;;False
4613;Ofena;Abruzzo;445;42.3319600751347;13.757279117438427;Ofena, Abruzzo;;False
4668;Opi;Abruzzo;372;41.77156113453195;13.854501941387872;Opi, Abruzzo;;False
4684;Oricola;Abruzzo;1286;42.06666072378916;13.04360417601718;Oricola, Abruzzo;;False
4706;Orsogna;Abruzzo;3623;42.22766696347992;14.29074816182465;Orsogna, Abruzzo;;False
4717;Ortona;Abruzzo;21973;42.336973154136366;14.372608810162792;Ortona, Abruzzo;;False
4718;Ortona dei Marsi;Abruzzo;378;42.00112050947583;13.72910144088809;Ortona dei Marsi, Abruzzo;;False
4720;Ortucchio;Abruzzo;1719;41.9487681350744;13.62035244182949;Ortucchio, Abruzzo;;False
4770;Ovindoli;Abruzzo;1174;42.133455049880126;13.514262713816867;Ovindoli, Abruzzo;;False
4781;Pacentro;Abruzzo;1064;42.05497511681286;14.02742140115848;Pacentro, Abruzzo;;False
4801;Paglieta;Abruzzo;4130;42.16934038369699;14.49030088474202;Paglieta, Abruzzo;;False
4828;Palena;Abruzzo;1206;41.95802053432307;14.129139753656125;Palena, Abruzzo;;False
4845;Palmoli;Abruzzo;841;41.95517298949763;14.599348172939155;Palmoli, Abruzzo;;False
4848;Palombaro;Abruzzo;945;42.125593379816856;14.219843474284051;Palombaro, Abruzzo;;False
4948;Penna Sant'Andrea;Abruzzo;1633;42.58543311303933;13.766026356755686;Penna Sant'Andrea, Abruzzo;;False
4950;Pennadomo;Abruzzo;206;42.00452001407896;14.32082178751967;Pennadomo, Abruzzo;;False
4951;Pennapiedimonte;Abruzzo;384;42.143206550840006;14.16651483317272;Pennapiedimonte, Abruzzo;;False
4952;Penne;Abruzzo;11055;42.467624914970024;13.906648180424432;Penne, Abruzzo;;False
4954;Perano;Abruzzo;1457;42.10772938730439;14.394758616821468;Perano, Abruzzo;;False
4961;Pereto;Abruzzo;638;42.05225361737573;13.128594892565472;Pereto, Abruzzo;;False
4986;Pescara;Abruzzo;118419;42.45600107571348;14.20326204457626;Pescara, Abruzzo;;False
4988;Pescasseroli;Abruzzo;2041;41.80956849675003;13.791160044135934;Pescasseroli, Abruzzo;;False
4995;Pescina;Abruzzo;3652;42.01034477351589;13.645825766210343;Pescina, Abruzzo;;False
4997;Pescocostanzo;Abruzzo;1090;41.91847722152449;14.056534252535856;Pescocostanzo, Abruzzo;;False
5002;Pescosansonesco;Abruzzo;438;42.24647848819016;13.871397248763987;Pescosansonesco, Abruzzo;;False
5025;Pettorano sul Gizio;Abruzzo;1273;41.96737572839588;13.947056565618825;Pettorano sul Gizio, Abruzzo;;False
5043;Pianella;Abruzzo;8544;42.39240133458174;14.057064763771072;Pianella, Abruzzo;;False
5067;Picciano;Abruzzo;1284;42.47773051017378;13.985547206770052;Picciano, Abruzzo;;False
5085;Pietracamela;Abruzzo;201;42.49761318083806;13.543096664923764;Pietracamela, Abruzzo;;False
5089;Pietraferrazzana;Abruzzo;128;41.972655368324126;14.37911433950823;Pietraferrazzana, Abruzzo;;False
5095;Pietranico;Abruzzo;419;42.28342754669521;13.913774310972649;Pietranico, Abruzzo;;False
5141;Pineto;Abruzzo;14800;42.60791477074853;14.040671544026193;Pineto, Abruzzo;;False
5177;Pizzoferrato;Abruzzo;954;41.9254238176193;14.23386504829218;Pizzoferrato, Abruzzo;;False
5178;Pizzoli;Abruzzo;4324;42.450319621735915;13.332367599334075;Pizzoli, Abruzzo;;False
5203;Poggio Picenze;Abruzzo;1016;42.31699612714838;13.540512672763096;Poggio Picenze, Abruzzo;;False
5212;Poggiofiorito;Abruzzo;773;42.24861466833526;14.328393540747005;Poggiofiorito, Abruzzo;;False
5242;Pollutri;Abruzzo;2043;42.13410441572487;14.596645103551324;Pollutri, Abruzzo;;False
5312;Popoli;Abruzzo;4599;42.17103948951016;13.838727421291871;Popoli, Abruzzo;;False
5399;Prata d'Ansidonia;Abruzzo;423;42.27336102611182;13.620017364816611;Prata d'Ansidonia, Abruzzo;;False
5409;Pratola Peligna;Abruzzo;6938;42.09908917893024;13.8970099101815;Pratola Peligna, Abruzzo;;False
5440;Pretoro;Abruzzo;861;42.203759671567234;14.132111887353478;Pretoro, Abruzzo;;False
5442;Prezza;Abruzzo;821;42.057682335612384;13.83647499500257;Prezza, Abruzzo;;False
5474;Quadri;Abruzzo;681;41.92689592483475;14.27181569456154;Quadri, Abruzzo;;False
5517;Raiano;Abruzzo;2618;42.10002020041107;13.809756390807026;Raiano, Abruzzo;;False
5527;Rapino;Abruzzo;1151;42.19998314849065;14.169960718217798;Rapino, Abruzzo;;False
5617;Ripa Teatina;Abruzzo;3880;42.36432842937001;14.247301623561334;Ripa Teatina, Abruzzo;;False
5651;Rivisondoli;Abruzzo;661;41.86289226982687;14.04386512955764;Rivisondoli, Abruzzo;;False
5689;Rocca Pia;Abruzzo;166;41.90533101491916;13.98715656182626;Rocca Pia, Abruzzo;;False
5694;Rocca San Giovanni;Abruzzo;2303;42.26270953381565;14.461733230331076;Rocca San Giovanni, Abruzzo;;False
5695;Rocca Santa Maria;Abruzzo;450;42.67358798890441;13.492604502354428;Rocca Santa Maria, Abruzzo;;False
5680;Rocca di Botte;Abruzzo;867;42.02183515302261;13.114719363829415;Rocca di Botte, Abruzzo;;False
5681;Rocca di Cambio;Abruzzo;522;42.229286063565986;13.473842342811672;Rocca di Cambio, Abruzzo;;False
5683;Rocca di Mezzo;Abruzzo;1335;42.196855418745045;13.508974183720046;Rocca di Mezzo, Abruzzo;;False
5703;Roccacasale;Abruzzo;576;42.129298122404066;13.89067260626724;Roccacasale, Abruzzo;;False
5720;Roccamontepiano;Abruzzo;1544;42.25525547959136;14.13389690163421;Roccamontepiano, Abruzzo;;False
5721;Roccamorice;Abruzzo;849;42.18958277066784;14.065583718917551;Roccamorice, Abruzzo;;False
5727;Roccaraso;Abruzzo;1488;41.83732716445148;14.078206504363491;Roccaraso, Abruzzo;;False
5729;Roccascalegna;Abruzzo;1017;42.06732732287192;14.321842773597147;Roccascalegna, Abruzzo;;False
5734;Roccaspinalveti;Abruzzo;1136;41.930117453129014;14.465423029711618;Roccaspinalveti, Abruzzo;;False
5771;Roio del Sangro;Abruzzo;100;41.91124805546575;14.374210383185089;Roio del Sangro, Abruzzo;;False
5820;Rosciano;Abruzzo;4091;42.33413207446926;14.04509980766934;Rosciano, Abruzzo;;False
5823;Rosello;Abruzzo;167;41.89421266572083;14.350705123548444;Rosello, Abruzzo;;False
5825;Roseto degli Abruzzi;Abruzzo;25916;42.68110237304419;13.979454655774244;Roseto degli Abruzzi, Abruzzo;;False
5936;Salle;Abruzzo;260;42.1531240945798;13.943727644464332;Salle, Abruzzo;;False
5974;San Benedetto dei Marsi;Abruzzo;3701;42.00650924360455;13.602046155199996;San Benedetto dei Marsi, Abruzzo;;False
5976;San Benedetto in Perillis;Abruzzo;100;42.17986360551975;13.774644169855042;San Benedetto in Perillis, Abruzzo;;False
5988;San Buono;Abruzzo;851;41.992692540305654;14.579035095295962;San Buono, Abruzzo;;False
6022;San Demetrio ne' Vestini;Abruzzo;1987;42.283493203340825;13.555540116649324;San Demetrio ne' Vestini, Abruzzo;;False
6099;San Giovanni Lipioni;Abruzzo;134;41.84388170296679;14.568753543585656;San Giovanni Lipioni, Abruzzo;;False
6103;San Giovanni Teatino;Abruzzo;14563;42.412931341294744;14.18600049764238;San Giovanni Teatino, Abruzzo;;False
6168;San Martino sulla Marrucina;Abruzzo;860;42.228237191133424;14.218945105649118;San Martino sulla Marrucina, Abruzzo;;False
6240;San Pio delle Camere;Abruzzo;649;42.29036826861186;13.649240246302533;San Pio delle Camere, Abruzzo;;False
6262;San Salvo;Abruzzo;19881;42.04658856682276;14.752512489963802;San Salvo, Abruzzo;;False
6281;San Valentino in Abruzzo Citeriore;Abruzzo;1800;42.231445036020666;13.982042986151106;San Valentino in Abruzzo Citeriore, Abruzzo;;False
6288;San Vincenzo Valle Roveto;Abruzzo;2064;41.83327532554837;13.52869750060932;San Vincenzo Valle Roveto, Abruzzo;;False
6293;San Vito Chietino;Abruzzo;5146;42.29289625239815;14.432880008454775;San Vito Chietino, Abruzzo;;False
6378;Sant'Egidio alla Vibrata;Abruzzo;9880;42.81793383988765;13.710268586929864;Sant'Egidio alla Vibrata, Abruzzo;;False
6385;Sant'Eufemia a Maiella;Abruzzo;245;42.104997166075286;14.03567231255476;Sant'Eufemia a Maiella, Abruzzo;;False
6388;Sant'Eusanio Forconese;Abruzzo;364;42.28343908905267;13.515533309100364;Sant'Eusanio Forconese, Abruzzo;;False
6387;Sant'Eusanio del Sangro;Abruzzo;2247;42.15733428123042;14.356732780911054;Sant'Eusanio del Sangro, Abruzzo;;False
6393;Sant'Omero;Abruzzo;5152;42.78888643914806;13.821591245744957;Sant'Omero, Abruzzo;;False
6439;Santa Maria Imbaro;Abruzzo;2000;42.21603067657016;14.456735110208816;Santa Maria Imbaro, Abruzzo;;False
6460;Sante Marie;Abruzzo;1077;42.118657168665656;13.21053110660078;Sante Marie, Abruzzo;;False
