index;City;State;Population;Latitude;Longitude;city-state;AlternateNames;isStateCapital
214;Mook en Middelaar;Limburg;7783.0;51.75123;5.88163;Mook en Middelaar, Limburg;;False
215;Neder-Betuwe;Gelderland;22591.0;51.930937;5.574103;Neder-Betuwe, Gelderland;;False
216;Nederweert;Limburg;16773.0;51.286563;5.752701;Nederweert, Limburg;;False
217;Neerijnen;Gelderland;12022.0;51.831902;5.279356;Neerijnen, Gelderland;;False
218;Nieuwegein;Utrecht;61017.0;52.024821;5.091819;Nieuwegein, Utrecht;;False
219;Nieuwkoop;Zuid-Holland;27114.0;52.150056;4.777359;Nieuwkoop, Zuid-Holland;;False
220;Nijkerk;Gelderland;40600.0;52.222484;5.483563;Nijkerk, Gelderland;;False
221;Nijmegen;Gelderland;168499.0;51.812563;5.837226;Nijmegen, Gelderland;;False
222;Nissewaard;Zuid-Holland;85083.0;51.848034;4.328748;Nissewaard, Zuid-Holland;;False
223;Noord-Beveland;Zeeland;7508.0;51.570283;3.771484;Noord-Beveland, Zeeland;;False
224;Noordenveld;Drenthe;31110.0;53.095093;6.445541;Noordenveld, Drenthe;;False
225;Noordoostpolder;Flevoland;46372.0;52.692622;5.737842;Noordoostpolder, Flevoland;;False
226;Noordwijk;Zuid-Holland;25689.0;52.239989;4.450009;Noordwijk, Zuid-Holland;;False
227;Noordwijkerhout;Zuid-Holland;15982.0;52.260194;4.495584;Noordwijkerhout, Zuid-Holland;;False
228;Nuenen, Gerwen en Nederwetten;Noord-Brabant;22596.0;51.478251;5.556858;Nuenen, Gerwen en Nederwetten, Noord-Brabant;;False
229;Nunspeet;Gelderland;26707.0;52.374772;5.769895;Nunspeet, Gelderland;;False
230;Nuth;Limburg;15577.0;50.911427;5.892596;Nuth, Limburg;;False
231;Oegstgeest;Zuid-Holland;22855.0;52.186226;4.47481;Oegstgeest, Zuid-Holland;;False
232;Oirschot;Noord-Brabant;17989.0;51.504448;5.308463;Oirschot, Noord-Brabant;;False
233;Oisterwijk;Noord-Brabant;25835.0;51.565424;5.203028;Oisterwijk, Noord-Brabant;;False
234;Oldambt;Groningen;38558.0;53.203691;7.05297;Oldambt, Groningen;;False
235;Oldebroek;Gelderland;22824.0;52.447445;5.898317;Oldebroek, Gelderland;;False
236;Oldenzaal;Overijssel;32152.0;52.311655;6.926828;Oldenzaal, Overijssel;;False
237;Olst-Wijhe;Overijssel;17760.0;52.351896;6.127076;Olst-Wijhe, Overijssel;;False
238;Ommen;Overijssel;17370.0;52.506652;6.435289;Ommen, Overijssel;;False
239;Onderbanken;Limburg;7882.0;50.969852;5.965396;Onderbanken, Limburg;;False
240;Oost Gelre;Gelderland;29648.0;51.990117;6.567068;Oost Gelre, Gelderland;;False
241;Oosterhout;Noord-Brabant;53733.0;51.64102;4.86169;Oosterhout, Noord-Brabant;;False
242;Ooststellingwerf;Friesland;25672.0;52.988319;6.270427;Ooststellingwerf, Friesland;;False
243;Oostzaan;Noord-Holland;9154.0;52.440497;4.875722;Oostzaan, Noord-Holland;;False
244;Opmeer;Noord-Holland;11374.0;52.705379;4.942667;Opmeer, Noord-Holland;;False
245;Opsterland;Friesland;29894.0;53.039542;6.11532;Opsterland, Friesland;;False
246;Oss;Noord-Brabant;85039.0;51.76118;5.514048;Oss, Noord-Brabant;;False
247;Oud-Beijerland;Zuid-Holland;23727.0;51.81893;4.427236;Oud-Beijerland, Zuid-Holland;;False
248;Oude IJsselstreek;Gelderland;39614.0;51.911046;6.405564;Oude IJsselstreek, Gelderland;;False
249;Ouder-Amstel;Noord-Holland;13255.0;52.285929;4.913383;Ouder-Amstel, Noord-Holland;;False
250;Oudewater;Utrecht;9868.0;52.024163;4.868417;Oudewater, Utrecht;;False
251;Overbetuwe;Gelderland;46653.0;51.932775;5.781465;Overbetuwe, Gelderland;;False
252;Papendrecht;Zuid-Holland;32140.0;51.842481;4.694183;Papendrecht, Zuid-Holland;;False
253;Peel en Maas;Limburg;43298.0;51.339919;6.012298;Peel en Maas, Limburg;;False
254;Pekela;Groningen;12733.0;53.085241;6.977881;Pekela, Groningen;;False
255;Pijnacker-Nootdorp;Zuid-Holland;51068.0;52.012698;4.427355;Pijnacker-Nootdorp, Zuid-Holland;;False
256;Purmerend;Noord-Holland;79552.0;52.514381;4.964061;Purmerend, Noord-Holland;;False
257;Putten;Gelderland;24044.0;52.245301;5.568482;Putten, Gelderland;;False
258;Raalte;Overijssel;36526.0;52.380903;6.278318;Raalte, Overijssel;;False
259;Reimerswaal;Zeeland;21915.0;51.410002;4.154448;Reimerswaal, Zeeland;;False
260;Renkum;Gelderland;31577.0;51.982983;5.739978;Renkum, Gelderland;;False
261;Renswoude;Utrecht;4928.0;52.074661;5.538173;Renswoude, Utrecht;;False
262;Reusel-De Mierden;Noord-Brabant;12728.0;51.37065;5.146555;Reusel-De Mierden, Noord-Brabant;;False
263;Rheden;Gelderland;43563.0;52.005737;6.027959;Rheden, Gelderland;;False
264;Rhenen;Utrecht;19123.0;51.96214;5.571116;Rhenen, Utrecht;;False
265;Ridderkerk;Zuid-Holland;45207.0;51.870253;4.602234;Ridderkerk, Zuid-Holland;;False
266;Rijssen-Holten;Overijssel;37696.0;52.292506;6.439999;Rijssen-Holten, Overijssel;;False
267;Rijswijk;Zuid-Holland;47680.0;52.037698;4.321974;Rijswijk, Zuid-Holland;;False
268;Roerdalen;Limburg;20808.0;51.139166;6.034269;Roerdalen, Limburg;;False
269;Roermond;Limburg;57030.0;51.19132;5.987772;Roermond, Limburg;;False
270;Roosendaal;Noord-Brabant;76930.0;51.535849;4.465321;Roosendaal, Noord-Brabant;;False
271;Rotterdam;Zuid-Holland;618467.0;51.92442;4.477733;Rotterdam, Zuid-Holland;;False
272;Rozendaal;Gelderland;1500.0;52.009785;5.966507;Rozendaal, Gelderland;;False
273;Rucphen;Noord-Brabant;22213.0;51.533567;4.56032;Rucphen, Noord-Brabant;;False
274;Schagen;Noord-Holland;46016.0;52.788091;4.8044;Schagen, Noord-Holland;;False
275;Scherpenzeel;Gelderland;9496.0;52.07893;5.488065;Scherpenzeel, Gelderland;;False
276;Schiedam;Zuid-Holland;76487.0;51.91696;4.398819;Schiedam, Zuid-Holland;;False
277;Schiermonnikoog;Friesland;938.0;53.489374;6.230911;Schiermonnikoog, Friesland;;False
278;Schinnen;Limburg;12961.0;50.943647;5.879361;Schinnen, Limburg;;False
279;Schouwen-Duiveland;Zeeland;33821.0;51.680357;3.952013;Schouwen-Duiveland, Zeeland;;False
280;'s-Gravenhage;Zuid-Holland;508592.0;52.070498;4.3007;'s-Gravenhage, Zuid-Holland;The Hague,Den Haag;True
281;'s-Hertogenbosch;Noord-Brabant;143745.0;51.711742;5.301631;'s-Hertogenbosch, Noord-Brabant;Den Bosch;True
282;Simpelveld;Limburg;10844.0;50.832849;5.987771;Simpelveld, Limburg;;False
283;Sint Anthonis;Noord-Brabant;11696.0;51.627161;5.885193;Sint Anthonis, Noord-Brabant;;False
284;Sint-Michielsgestel;Noord-Brabant;28186.0;51.641348;5.352881;Sint-Michielsgestel, Noord-Brabant;;False
285;Sittard-Geleen;Limburg;93806.0;51.003168;5.823671;Sittard-Geleen, Limburg;;False
286;Sliedrecht;Zuid-Holland;24528.0;51.824868;4.773162;Sliedrecht, Zuid-Holland;;False
287;Sluis;Zeeland;23795.0;51.308656;3.387919;Sluis, Zeeland;;False
288;Smallingerland;Friesland;55496.0;53.127729;6.079345;Smallingerland, Friesland;;False
289;Soest;Utrecht;45430.0;52.176352;5.299197;Soest, Utrecht;;False
290;Someren;Noord-Brabant;18700.0;51.384967;5.712367;Someren, Noord-Brabant;;False
291;Son en Breugel;Noord-Brabant;16241.0;51.511394;5.498219;Son en Breugel, Noord-Brabant;;False
292;Stadskanaal;Groningen;32793.0;52.991985;6.946222;Stadskanaal, Groningen;;False
293;Staphorst;Overijssel;16365.0;52.642914;6.199494;Staphorst, Overijssel;;False
294;Stede Broec;Noord-Holland;21474.0;51.511394;5.498219;Stede Broec, Noord-Holland;;False
295;Steenbergen;Noord-Brabant;23409.0;51.58124;4.315599;Steenbergen, Noord-Brabant;;False
296;Steenwijkerland;Overijssel;43372.0;52.741538;6.049324;Steenwijkerland, Overijssel;;False
297;Stein;Limburg;25348.0;50.967974;5.76622;Stein, Limburg;;False
298;Stichtse Vecht;Utrecht;63823.0;52.144755;5.033208;Stichtse Vecht, Utrecht;;False
299;Strijen;Zuid-Holland;8678.0;51.744684;4.55392;Strijen, Zuid-Holland;;False
300;Súdwest-Fryslân;Friesland;84258.0;53.023416;5.481658;Súdwest-Fryslân, Friesland;;False
301;Ten Boer;Groningen;7465.0;53.275888;6.6926;Ten Boer, Groningen;;False
302;Terneuzen;Zeeland;54711.0;51.332285;3.832426;Terneuzen, Zeeland;;False
303;Terschelling;Friesland;4769.0;53.397875;5.346679;Terschelling, Friesland;;False
304;Texel;Noord-Holland;13566.0;53.054763;4.797715;Texel, Noord-Holland;;False
305;Teylingen;Zuid-Holland;35723.0;52.222004;4.513404;Teylingen, Zuid-Holland;;False
306;Tholen;Zeeland;25398.0;51.533271;4.216222;Tholen, Zeeland;;False
307;Tiel;Gelderland;41729.0;51.887618;5.427877;Tiel, Gelderland;;False
308;Tilburg;Noord-Brabant;210382.0;51.560596;5.091914;Tilburg, Noord-Brabant;;False
309;Tubbergen;Overijssel;21216.0;52.408907;6.785489;Tubbergen, Overijssel;;False
310;Twenterand;Overijssel;33939.0;52.450068;6.620745;Twenterand, Overijssel;;False
311;Tynaarlo;Drenthe;32506.0;53.101283;6.576097;Tynaarlo, Drenthe;;False
312;Tytsjerksteradiel;Friesland;31980.0;53.176038;5.97868;Tytsjerksteradiel, Friesland;;False
313;Uden;Noord-Brabant;40934.0;51.663107;5.623923;Uden, Noord-Brabant;;False
314;Uitgeest;Noord-Holland;13242.0;52.531225;4.712046;Uitgeest, Noord-Holland;;False
315;Uithoorn;Noord-Holland;28407.0;52.244627;4.831734;Uithoorn, Noord-Holland;;False
316;Urk;Flevoland;19487.0;52.663053;5.598947;Urk, Flevoland;;False
317;Utrecht;Utrecht;328577.0;52.090737;5.12142;Utrecht, Utrecht;;True
318;Utrechtse Heuvelrug;Utrecht;47939.0;52.052203;5.282495;Utrechtse Heuvelrug, Utrecht;;False
319;Vaals;Limburg;9682.0;50.773218;6.011274;Vaals, Limburg;;False
320;Valkenburg aan de Geul;Limburg;16668.0;50.868477;5.826448;Valkenburg aan de Geul, Limburg;;False
321;Valkenswaard;Noord-Brabant;30353.0;51.355496;5.453327;Valkenswaard, Noord-Brabant;;False
322;Veendam;Groningen;27795.0;53.106278;6.8751;Veendam, Groningen;;False
323;Veenendaal;Utrecht;63207.0;52.026301;5.554431;Veenendaal, Utrecht;;False
324;Veere;Zeeland;21882.0;51.548294;3.666006;Veere, Zeeland;;False
325;Veldhoven;Noord-Brabant;44136.0;51.417634;5.406021;Veldhoven, Noord-Brabant;;False
326;Velsen;Noord-Holland;67231.0;52.452059;4.630587;Velsen, Noord-Holland;;False
327;Venlo;Limburg;100381.0;51.370375;6.172403;Venlo, Limburg;;False
328;Venray;Limburg;43120.0;51.525626;5.973699;Venray, Limburg;;False
329;Vianen;Utrecht;19573.0;51.990276;5.103033;Vianen, Utrecht;;False
330;Vlaardingen;Zuid-Holland;71059.0;51.912067;4.349437;Vlaardingen, Zuid-Holland;;False
331;Vlieland;Friesland;1097.0;53.250184;4.951427;Vlieland, Friesland;;False
332;Vlissingen;Zeeland;44450.0;51.453667;3.570912;Vlissingen, Zeeland;;False
333;Voerendaal;Limburg;12447.0;50.879153;5.93116;Voerendaal, Limburg;;False
334;Voorschoten;Zuid-Holland;24941.0;52.12379;4.438598;Voorschoten, Zuid-Holland;;False
335;Voorst;Gelderland;23801.0;52.225271;6.09905;Voorst, Gelderland;;False
336;Vught;Noord-Brabant;25626.0;51.653306;5.294347;Vught, Noord-Brabant;;False
337;Waadhoeke;Friesland;;53.184738;5.531866;Waadhoeke, Friesland;;False
338;Waalre;Noord-Brabant;16804.0;51.387833;5.443202;Waalre, Noord-Brabant;;False
339;Waalwijk;Noord-Brabant;46515.0;51.687895;5.057482;Waalwijk, Noord-Brabant;;False
340;Waddinxveen;Zuid-Holland;25520.0;52.031297;4.659132;Waddinxveen, Zuid-Holland;;False
